old_image,new_image,coordinates,content,
1730128678.png,inpainted_1730128678.png,"[[685, 635], [1080, 635], [1080, 965], [685, 965]]",f
1730128679.png,inpainted_1730128679.png,"[[396, 254], [719, 254], [719, 346], [396, 346]]",拉利埃特!
1730128679.png,inpainted_1730128679.png,"[[991, 1427], [1011, 1427], [1011, 1477], [991, 1477]]",3
1730128704.png,inpainted_1730128704.png,"[[81, 839], [171, 839], [171, 929], [81, 929]]",啃
1730128704.png,inpainted_1730128704.png,"[[219, 1051], [313, 1051], [313, 1141], [219, 1141]]",齧
1730128705.png,inpainted_1730128705.png,"[[290, 600], [380, 600], [380, 678], [290, 678]]",噴
1730128705.png,inpainted_1730128705.png,"[[310, 875], [676, 875], [676, 963], [310, 963]]",找過來了啊
1730128705.png,inpainted_1730128705.png,"[[665, 927], [685, 927], [685, 951], [665, 951]]",0
1730128705.png,inpainted_1730128705.png,"[[811, 1403], [1056, 1436], [1040, 1521], [795, 1488]]",蹭牢蹭去
1730128707.png,inpainted_1730128707.png,"[[216, 1606], [514, 1606], [514, 1682], [216, 1682]]",The one riding the white bow
1730128707.png,inpainted_1730128707.png,"[[218, 1680], [530, 1680], [530, 1756], [218, 1756]]","戰爭鬼神嘛,"
1730128707.png,inpainted_1730128707.png,"[[253, 1759], [505, 1759], [505, 1827], [253, 1827]]",葉...哇哇.
1730128708.png,inpainted_1730128708.png,"[[604, 280], [708, 280], [708, 494], [604, 494]]",粲
1730128708.png,inpainted_1730128708.png,"[[448, 1602], [639, 1602], [639, 1698], [448, 1698]]",放開.
1730128711.png,inpainted_1730128711.png,"[[233, 517], [426, 517], [426, 594], [233, 594]]",等-下
1730128711.png,inpainted_1730128711.png,"[[411, 559], [431, 559], [431, 583], [411, 583]]",0
1730128711.png,inpainted_1730128711.png,"[[692, 1470], [886, 1470], [886, 1546], [692, 1546]]",冷靜點
1730128711.png,inpainted_1730128711.png,"[[261, 1133], [345, 1125], [355, 1289], [271, 1297]]",蹯
1730128731.png,inpainted_1730128731.png,"[[266, 482], [566, 482], [566, 558], [266, 558]]",你想要公主
1730128731.png,inpainted_1730128731.png,"[[214, 556], [606, 556], [606, 632], [214, 632]]",平安無事的吧?
1730128731.png,inpainted_1730128731.png,"[[576, 2288], [874, 2288], [874, 2368], [576, 2368]]",那就別動.
1730128732.png,inpainted_1730128732.png,"[[282, 738], [561, 738], [561, 812], [282, 812]]","公主,只要"
1730128732.png,inpainted_1730128732.png,"[[277, 805], [558, 805], [558, 879], [277, 879]]",你乖乖呆耆
1730128732.png,inpainted_1730128732.png,"[[177, 971], [269, 971], [269, 1069], [177, 1069]]",n
1730128732.png,inpainted_1730128732.png,"[[587, 1888], [816, 1888], [816, 1963], [587, 1963]]",我就不會
1730128732.png,inpainted_1730128732.png,"[[588, 1958], [824, 1958], [824, 2030], [588, 2030]]",份害你的
1730128732.png,inpainted_1730128732.png,"[[742, 1709], [946, 1788], [902, 1893], [698, 1814]]",私語
1730128734.png,inpainted_1730128734.png,"[[707, 59], [837, 59], [837, 173], [707, 173]]",暱
1730128734.png,inpainted_1730128734.png,"[[174, 424], [296, 424], [296, 558], [174, 558]]",咭
1730128734.png,inpainted_1730128734.png,"[[288, 1336], [592, 1336], [592, 1408], [288, 1408]]",你想要|+么.
1730128734.png,inpainted_1730128734.png,"[[899, 2015], [1031, 2015], [1031, 2157], [899, 2157]]",嗅
1730128737.png,inpainted_1730128737.png,"[[316, 1188], [676, 1188], [676, 1260], [316, 1260]]",讓騎士們退下.
1730128737.png,inpainted_1730128737.png,"[[670, 1392], [748, 1392], [748, 1416], [670, 1416]]",0)
1730128737.png,inpainted_1730128737.png,"[[294, 1706], [322, 1706], [322, 1764], [294, 1764]]",0
1730128737.png,inpainted_1730128737.png,"[[122, 1886], [375, 1886], [375, 2201], [122, 2201]]",妄
1730128737.png,inpainted_1730128737.png,"[[835, 1376], [936, 1449], [914, 1481], [813, 1408]]",~6<
1730128737.png,inpainted_1730128737.png,"[[408, 1486], [455, 1455], [468, 1478], [421, 1509]]",009
1730128737.png,inpainted_1730128737.png,"[[356, 1536], [382, 1546], [364, 1593], [338, 1583]]",0
1730128737.png,inpainted_1730128737.png,"[[314, 1624], [345, 1629], [332, 1708], [301, 1703]]",0
1730128739.png,inpainted_1730128739.png,"[[251, 857], [431, 857], [431, 925], [251, 925]]",杰拉德
1730128739.png,inpainted_1730128739.png,"[[423, 1361], [515, 1361], [515, 1457], [423, 1457]]",鞠
1730128739.png,inpainted_1730128739.png,"[[441, 1447], [525, 1447], [525, 1539], [441, 1539]]",躬
1730128739.png,inpainted_1730128739.png,"[[488, 1538], [514, 1538], [514, 1590], [488, 1590]]",;
1730128739.png,inpainted_1730128739.png,"[[701, 1995], [767, 1995], [767, 2057], [701, 2057]]",是
1730128744.png,inpainted_1730128744.png,"[[263, 629], [397, 629], [397, 745], [263, 745]]",啦
1730128744.png,inpainted_1730128744.png,"[[196, 390], [335, 362], [379, 631], [240, 659]]",噬
1730128747.png,inpainted_1730128747.png,"[[262, 666], [542, 666], [542, 738], [262, 738]]",我想從這里
1730128747.png,inpainted_1730128747.png,"[[265, 737], [565, 737], [565, 805], [265, 805]]",安全出去哦.
1730128747.png,inpainted_1730128747.png,"[[686, 2152], [718, 2152], [718, 2234], [686, 2234]]",3
1730128747.png,inpainted_1730128747.png,"[[579, 2423], [999, 2423], [999, 2491], [579, 2491]]",只要放開拉利埃特
1730128747.png,inpainted_1730128747.png,"[[762, 1467], [842, 1454], [884, 1735], [805, 1748]]",咒
1730128749.png,inpainted_1730128749.png,"[[637, 0], [967, 0], [967, 37], [637, 37]]",1T云人#忑口o
1730128749.png,inpainted_1730128749.png,"[[347, 868], [566, 868], [566, 940], [347, 940]]",我怎么能
1730128749.png,inpainted_1730128749.png,"[[349, 937], [571, 937], [571, 1003], [349, 1003]]",相信你呢.
1730128749.png,inpainted_1730128749.png,"[[572, 972], [618, 972], [618, 996], [572, 996]]",8 e0
1730128749.png,inpainted_1730128749.png,"[[936, 1242], [974, 1242], [974, 1345], [936, 1345]]",8
1730128749.png,inpainted_1730128749.png,"[[293, 1503], [405, 1503], [405, 1667], [293, 1667]]",隈
1730128774.png,inpainted_1730128774.png,"[[207, 85], [480, 85], [480, 152], [207, 152]]","不行,不行"
1730128774.png,inpainted_1730128774.png,"[[269, 153], [441, 153], [441, 215], [269, 215]]",不行....
1730128774.png,inpainted_1730128774.png,"[[662, 1805], [836, 1805], [836, 1867], [662, 1867]]",不行....
1730128781.png,inpainted_1730128781.png,"[[379, 433], [501, 433], [501, 495], [379, 495]]",走吧
1730128781.png,inpainted_1730128781.png,"[[314, 493], [536, 493], [536, 559], [314, 559]]",阿斯拉寒
1730128781.png,inpainted_1730128781.png,"[[717, 1081], [843, 1081], [843, 1145], [717, 1145]]","求你,"
1730128781.png,inpainted_1730128781.png,"[[865, 1083], [981, 1083], [981, 1145], [865, 1145]]",走啊
1730128781.png,inpainted_1730128781.png,"[[474, 1966], [681, 1966], [681, 2043], [474, 2043]]",走吧...!
1730128781.png,inpainted_1730128781.png,"[[640, 1372], [749, 1360], [773, 1611], [664, 1623]]", 
1730128783.png,inpainted_1730128783.png,"[[347, 1975], [707, 1975], [707, 2041], [347, 2041]]",如果拉利埃特再
1730128783.png,inpainted_1730128783.png,"[[350, 2037], [565, 2037], [565, 2105], [350, 2105]]",受份的話
1730128783.png,inpainted_1730128783.png,"[[591, 2041], [709, 2041], [709, 2103], [591, 2103]]",那我
1730128783.png,inpainted_1730128783.png,"[[353, 2103], [729, 2103], [729, 2167], [353, 2167]]",不會再忍下去了.
1730128787.png,inpainted_1730128787.png,"[[275, 1294], [576, 1294], [576, 1374], [275, 1374]]",公爵您應該
1730128787.png,inpainted_1730128787.png,"[[275, 1371], [574, 1371], [574, 1446], [275, 1446]]",先擔心一下
1730128787.png,inpainted_1730128787.png,"[[298, 1448], [550, 1448], [550, 1520], [298, 1520]]",自己吧....
1730128787.png,inpainted_1730128787.png,"[[175, 1573], [359, 1573], [359, 1874], [175, 1874]]",昨
1730128791.png,inpainted_1730128791.png,"[[618, 84], [860, 84], [860, 160], [618, 160]]",這樣看你
1730128791.png,inpainted_1730128791.png,"[[616, 158], [866, 158], [866, 234], [616, 234]]",挺刺激的
1730128791.png,inpainted_1730128791.png,"[[248, 1362], [560, 1362], [560, 1438], [248, 1438]]",求你回去吧
1730128791.png,inpainted_1730128791.png,"[[332, 1434], [482, 1434], [482, 1508], [332, 1508]]",求你!
1730128791.png,inpainted_1730128791.png,"[[710, 1888], [980, 1888], [980, 1962], [710, 1962]]",阿斯拉寒!
1730128791.png,inpainted_1730128791.png,"[[700, 330], [962, 453], [894, 588], [632, 464]]",昨咪
1730128794.png,inpainted_1730128794.png,"[[430, 721], [694, 721], [694, 797], [430, 797]]",是我錯了
1730128794.png,inpainted_1730128794.png,"[[360, 796], [740, 796], [740, 870], [360, 870]]",都是我的問題!
